time,n_rep,y_val,richness,connectance,diameter,complexity,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
G1,1,1.0,47,0.02399275690357628,34,0.919104936694109,3.0,4.5013743401894715,0.7307303932440681,7.0,0.001358080579447714,0.007243096423721141,0.0004526935264825713,0.2399275690357628
G1,1,1.2,47,0.03123585332729742,36,0.9090190247530726,3.0,4.031923106178835,0.6936473421357587,23.0,0.003168854685377999,0.013580805794477138,0.004526935264825713,0.34449977365323675
G1,1,1.4,47,0.03485740153915799,36,0.873040367943935,3.0,3.9340659506104334,0.6785744679633341,31.0,0.004074241738343142,0.014486192847442281,0.0,0.3766410140334993
G1,1,1.6,47,0.039837030330466275,36,0.8079938591022753,3.0,3.6642803465535625,0.6646301914690191,42.0,0.004074241738343142,0.019465821638750568,0.003168854685377999,0.44092349479402443
G1,1,1.8,47,0.04391127206880942,36,0.875543890747121,3.0,3.288463775388509,0.6011598088274785,51.0,0.01041195110909914,0.020371208691715707,0.008148483476686284,0.425531914893617
G1,1,2.0,47,0.047080126754187414,36,0.8814783182131513,3.0,3.1422485134613214,0.5955028001840236,58.0,0.008601177003168854,0.02444545043005885,0.008148483476686284,0.4463558171118153
G1,1,2.2,47,0.05115436849253056,35,0.8890202837360885,3.0,2.902007266415515,0.6470315193390133,67.0,0.011317338162064282,0.026256224535989137,0.023087369850611137,0.4576731552738796
G1,1,2.4,47,0.05296514259846084,36,0.89141058472234,3.0,2.855139186235677,0.6032759328212408,71.0,0.010864644635581712,0.03531009506564056,0.025803531009506563,0.4907197827071073
G1,1,2.6,47,0.0647351742870077,36,0.8847293822181272,3.0,2.5319636040796945,0.6012058916144681,97.0,0.022634676324128564,0.046174739701222274,0.03576278859212313,0.5663196016296967
G1,1,2.8,47,0.057944771389769126,36,0.885621033944438,3.0,2.641955724156545,0.6299776309973754,82.0,0.009959257582616569,0.033499320959710276,0.033046627433227706,0.49117247623358984
G1,1,3.0,47,0.06201901312811227,37,0.8874874537683577,3.0,2.5299531577390564,0.6627235303813548,91.0,0.014938886373924853,0.03757356269805342,0.046627433227704844,0.5210502489814396
G1,1,3.2,47,0.06926210955183341,37,0.9093003766319859,3.0,2.287585352978855,0.5300130952481571,107.0,0.025803531009506563,0.04481665912177456,0.05115436849253056,0.5377999094612947
G1,1,3.4,47,0.06564056133997284,37,0.9214059807104791,3.0,2.2858442662874645,0.5483743888540303,99.0,0.025803531009506563,0.033046627433227706,0.05115436849253056,0.49615210502489815
G1,1,3.6,47,0.06699864191942055,37,0.884165091200811,3.0,2.474953936790269,0.5499583506434251,102.0,0.022181982797645994,0.057039384336803986,0.04345857854232685,0.5980081484834767
G1,1,3.8,47,0.07469443186962427,37,0.8955220913321611,3.0,2.277140379419272,0.524133126976903,119.0,0.046627433227704844,0.05930285196921684,0.046174739701222274,0.6111362607514712
G1,1,4.0,47,0.07695789950203712,36,0.9022507461214503,3.0,2.204656095647396,0.5894590850416741,124.0,0.03847894975101856,0.06066093254866455,0.06609325486645541,0.625169760072431
G1,1,4.2,47,0.0742417383431417,36,0.8777914912115372,3.0,2.2964741982814036,0.6487778964857871,118.0,0.021729289271163424,0.05432322317790855,0.0710728836577637,0.6306020823902219
G1,1,4.4,47,0.0742417383431417,37,0.9039955148190468,3.0,2.227806916740753,0.5665041786742817,118.0,0.03757356269805342,0.057944771389769126,0.05930285196921684,0.596650067904029
G1,1,4.6,47,0.08057944771389769,37,0.9026210658766642,3.0,2.157747000367755,0.5639966736644636,132.0,0.05251244907197827,0.06880941602535083,0.06699864191942055,0.6509732910819376
G1,1,4.8,47,0.08239022181982798,38,0.8986148687435663,3.0,2.1080425573638424,0.568889300942014,136.0,0.05296514259846084,0.07333635129017656,0.07741059302851969,0.6595744680851063
G1,1,5.0,47,0.07967406066093255,37,0.8890105926221161,3.0,2.1691073954949305,0.5581299584192628,130.0,0.030330466274332276,0.06066093254866455,0.07197827071072883,0.6527840651878678
G1,1,5.2,47,0.08057944771389769,37,0.8912496573866271,3.0,2.130176448527262,0.5746454722255102,132.0,0.03847894975101856,0.0647351742870077,0.07288365776369397,0.6315074694431869
G1,1,5.4,47,0.0819375282933454,37,0.8926079604773639,3.0,2.124773911547391,0.6541843431192742,135.0,0.029877772747849706,0.06835672249886826,0.0946129470348574,0.6622906292440018
G1,1,5.6,47,0.07967406066093255,36,0.8916547703526929,3.0,2.169821990476576,0.5718495748968759,130.0,0.04119511090991399,0.06111362607514713,0.0742417383431417,0.6550475328202807
G1,1,5.8,47,0.08148483476686283,36,0.9050833776088182,3.0,2.085564988306738,0.5398591792687117,134.0,0.0362154821186057,0.052059755545495696,0.08782254413761884,0.6369397917609778
G1,1,6.0,47,0.08148483476686283,37,0.9009496944826447,3.0,2.108886763589385,0.5029035393999086,134.0,0.05432322317790855,0.07741059302851969,0.057492077863286556,0.6296966953372567
G1,1,6.2,47,0.08420099592575826,37,0.8972917136916443,3.0,2.110827564364215,0.5241375043463076,140.0,0.03485740153915799,0.07062019013128112,0.07016749660479855,0.6722498868266183
G1,1,6.4,47,0.0869171570846537,36,0.8849962524386586,3.0,2.0549507411825214,0.5992447724030769,146.0,0.038931643277501135,0.07967406066093255,0.09099139882299682,0.6835672249886826
G1,1,6.6,47,0.08329560887279312,36,0.903334863052882,3.0,2.106927876030044,0.5926914745652713,138.0,0.029877772747849706,0.06518786781349027,0.08782254413761884,0.6690810321412404
G1,1,6.8,47,0.08284291534631055,37,0.9077158440366321,3.0,2.058294454000197,0.5597084368970969,137.0,0.03757356269805342,0.06201901312811227,0.0819375282933454,0.6215482118605704
G1,1,7.0,47,0.08736985061113627,37,0.895531598912207,3.0,2.0369775218274793,0.5307079997521696,147.0,0.04481665912177456,0.07605251244907198,0.08420099592575826,0.6917157084653689
G1,1,7.2,47,0.08465368945224083,38,0.9069016026697617,3.0,2.053599449900828,0.5174530448971943,141.0,0.05387052965142598,0.08782254413761884,0.07695789950203712,0.6763241285649615
G1,1,7.4,47,0.08646446355817111,37,0.8999768182185917,3.0,2.0430104236095024,0.5488095523966693,145.0,0.0615663196016297,0.08374830239927569,0.07605251244907198,0.6699864191942055
G1,1,7.6,47,0.08555907650520597,38,0.890076499568113,3.0,2.0705367764666978,0.5400894734140655,143.0,0.04798551380715256,0.0819375282933454,0.07514712539610684,0.6767768220914441
G1,1,7.8,47,0.08918062471706655,37,0.888976454328552,3.0,2.0100770435949684,0.5395628994424904,151.0,0.05115436849253056,0.07967406066093255,0.09099139882299682,0.6962426437301946
G1,1,8.0,47,0.08782254413761884,37,0.8844953570448255,3.0,2.0298641490933025,0.6240705612310973,148.0,0.05477591670439113,0.08420099592575826,0.09687641466727026,0.6908103214124038
G1,1,8.2,47,0.08736985061113627,37,0.9064991913739071,3.0,2.0127835339475046,0.5355444110985147,147.0,0.046174739701222274,0.07333635129017656,0.09325486645540969,0.6849253055681304
G1,1,8.4,47,0.09099139882299682,37,0.8947834469817969,3.0,1.980344058717029,0.5658809973614621,155.0,0.05387052965142598,0.10049796287913083,0.08374830239927569,0.6971480307831598
G1,1,8.6,47,0.09053870529651425,37,0.8880881431029299,3.0,2.0045304665443093,0.5553944935613432,154.0,0.05658669081032141,0.09189678587596198,0.08782254413761884,0.7066545948392938
G1,1,8.8,47,0.09053870529651425,38,0.8943684540974115,3.0,1.9780026706800453,0.5950493220332025,154.0,0.047080126754187414,0.08872793119058398,0.1086464463558171,0.7034857401539159
G1,1,9.0,47,0.08963331824354911,37,0.8979207981085862,3.0,2.011101041618711,0.5728193602631143,152.0,0.0425531914893617,0.0882752376641014,0.0946129470348574,0.707559981892259
G1,1,9.2,47,0.08963331824354911,37,0.9074421572770123,3.0,2.02566619400686,0.4847970163722989,152.0,0.039384336803983705,0.08057944771389769,0.07605251244907198,0.7016749660479855
G1,1,9.4,47,0.09144409234947941,38,0.892209890291462,3.0,1.9819818160205382,0.5593316496637407,156.0,0.05341783612494341,0.09325486645540969,0.09008601177003168,0.7052965142598461
G1,1,9.6,47,0.08918062471706655,37,0.8862036718826272,3.0,2.0131526489190956,0.5836296677729154,151.0,0.05251244907197827,0.08782254413761884,0.09234947940244455,0.7039384336803983
G1,1,9.8,47,0.08646446355817111,36,0.8904054716506099,3.0,2.052652447502468,0.5512028877094339,145.0,0.046627433227704844,0.07876867360796741,0.07469443186962427,0.6767768220914441
G1,1,10.0,47,0.08601177003168854,38,0.8890422418075046,3.0,2.068319443647021,0.5182621810487735,144.0,0.04300588501584427,0.0851063829787234,0.06609325486645541,0.6713444997736533
G2,1,1.0,20,0.08,12,0.8665164903166473,2.0,2.5761430779160417,0.6846531968814576,13.0,0.01,0.015,0.0,0.285
G2,1,1.2,20,0.0775,12,0.7903264976092432,2.0,2.593136153877624,0.73931033327088,12.0,0.005,0.02,0.0,0.27
G2,1,1.4,20,0.095,12,0.8323848880760427,2.0,2.225775131956868,0.7019851882687896,19.0,0.005,0.045,0.0025,0.29
G2,1,1.6,20,0.115,12,0.8439104239928906,2.0,1.9191705501173593,0.7866663181614797,27.0,0.0125,0.0925,0.0225,0.3125
G2,1,1.8,20,0.115,12,0.8426705443869257,2.0,1.980403446564126,0.7206603279822815,27.0,0.01,0.0725,0.025,0.34
G2,1,2.0,20,0.135,14,0.8536245588621207,2.0,1.652419067117589,0.7017002361607523,35.0,0.095,0.13,0.0075,0.3025
G2,1,2.2,20,0.1325,13,0.8352090966948259,2.0,1.7498464186871228,0.673650132169119,34.0,0.08,0.11,0.0125,0.34
G2,1,2.4,20,0.125,14,0.8265417616101502,2.0,1.8421954865123071,0.7283723744002607,31.0,0.06,0.105,0.025,0.3575
G2,1,2.6,20,0.1375,12,0.8741902305304438,2.0,1.6637788523705537,0.6448511230174716,36.0,0.07,0.115,0.02,0.335
G2,1,2.8,20,0.1325,13,0.8466821538041809,2.0,1.73262945666,0.6846852665992069,34.0,0.0975,0.1175,0.0025,0.325
G2,1,3.0,20,0.1375,12,0.8576797473255068,2.0,1.6595906044373316,0.6764541792563032,36.0,0.0775,0.115,0.0325,0.335
G2,1,3.2,20,0.1425,14,0.8848746618353065,2.0,1.5826365028153933,0.636637177715052,38.0,0.11,0.12,0.02,0.315
G2,1,3.4,20,0.1375,12,0.8356030980373701,2.0,1.7132393915332367,0.6660864518773151,36.0,0.055,0.135,0.005,0.3375
G2,1,3.6,20,0.14,13,0.8129377302435787,2.0,1.709265833188911,0.6716604942594676,37.0,0.155,0.1375,0.005,0.365
G2,1,3.8,20,0.1425,13,0.8324012468801596,2.0,1.6468422965848908,0.7134301093573332,38.0,0.1175,0.1525,0.0025,0.3325
G2,1,4.0,20,0.145,13,0.8226521463128134,2.0,1.6777796681349235,0.6796000193087445,39.0,0.1,0.125,0.0425,0.395
G2,1,4.2,20,0.1425,13,0.8432086005936318,2.0,1.6310278162486018,0.6664722465206055,38.0,0.1725,0.13,0.01,0.3425
G2,1,4.4,20,0.145,13,0.8549806483879823,2.0,1.6476690178294044,0.6513884423367812,39.0,0.105,0.145,0.0225,0.3825
G2,1,4.6,20,0.1575,14,0.8398071675596022,2.0,1.5459097730554994,0.6203422402998078,44.0,0.1425,0.185,0.0,0.3625
G2,1,4.8,20,0.14,14,0.8534408425120219,2.0,1.7092658331889108,0.6087440187334217,37.0,0.0725,0.135,0.01,0.37
G2,1,5.0,20,0.1525,14,0.8444228686286376,2.0,1.579494193302013,0.624583483327385,42.0,0.1525,0.145,0.02,0.375
G2,1,5.2,20,0.155,13,0.8465968602635295,2.0,1.5590324495184902,0.6443118346673903,43.0,0.1575,0.1675,0.01,0.3525
G2,1,5.4,20,0.135,13,0.8394910267039287,2.0,1.7541476987867657,0.6913348181383181,35.0,0.09,0.1275,0.005,0.35
G2,1,5.6,20,0.15,13,0.8518622965555841,2.0,1.5820632024695431,0.6578362547106201,41.0,0.1575,0.1425,0.025,0.365
G2,1,5.8,20,0.155,14,0.8533559577011222,2.0,1.5868869517740443,0.6357548567726964,43.0,0.105,0.1725,0.0125,0.375
G2,1,6.0,20,0.145,13,0.8264078063160836,2.0,1.6703028944427802,0.688747133609969,39.0,0.1025,0.145,0.02,0.375
G2,1,6.2,20,0.1425,12,0.8481559205204504,2.0,1.7010355356006233,0.6566778527338533,38.0,0.0325,0.15,0.02,0.3725
G2,1,6.4,20,0.1425,13,0.8228916885175213,2.0,1.7349803950984022,0.6566778527338532,38.0,0.1025,0.1525,0.005,0.39
G2,1,6.6,20,0.1475,14,0.843032842097388,2.0,1.6330363693461487,0.6363213195104076,40.0,0.1125,0.1525,0.005,0.3575
G2,1,6.8,20,0.155,14,0.8436772543444798,2.0,1.5868869517740443,0.6093633815408597,43.0,0.1575,0.1725,0.0075,0.3875
G2,1,7.0,20,0.1575,14,0.8200926370596718,2.0,1.6031787389211898,0.6203422402998077,44.0,0.1375,0.1825,0.005,0.4
