"resource","consumer"
"Ammonite_1","Ammonite_1"
"Ammonite_1","Ammonite_2"
"Ammonite_1","Ammonite_3"
"Ammonite_1","Belemnite_1"
"Ammonite_1","Fish_1"
"Ammonite_2","Ammonite_2"
"Ammonite_2","Ammonite_3"
"Ammonite_2","Belemnite_1"
"Ammonite_2","Belemnite_2"
"Ammonite_2","Fish_1"
"Ammonite_3","Ammonite_3"
"Ammonite_3","Belemnite_1"
"Ammonite_3","Belemnite_2"
"Ammonite_3","Belemnite_3"
"Ammonite_3","Fish_1"
"BASAL NODE","Bivalve_10"
"BASAL NODE","Bivalve_11"
"BASAL NODE","Bivalve_12"
"BASAL NODE","Bivalve_13"
"BASAL NODE","Bivalve_14"
"BASAL NODE","Bivalve_16"
"BASAL NODE","Bivalve_18"
"BASAL NODE","Bivalve_19"
"BASAL NODE","Bivalve_20"
"BASAL NODE","Bivalve_21"
"BASAL NODE","Bivalve_24"
"BASAL NODE","Bivalve_5"
"BASAL NODE","Bivalve_6"
"BASAL NODE","Bivalve_8"
"BASAL NODE","Bivalve_9"
"BASAL NODE","Brachiopod_1"
"BASAL NODE","Brachiopod_2"
"BASAL NODE","Bryozoan_1"
"BASAL NODE","Crinoid_1"
"BASAL NODE","Crinoid_2"
"BASAL NODE","Gastropod_1"
"BASAL NODE","Gastropod_4"
"BASAL NODE","Serpulid_1"
"BASAL NODE","Soft_1"
"BASAL NODE","Soft_2"
"BASAL NODE","Soft_3"
"BASAL NODE","Soft_4"
"BASAL NODE","Soft_5"
"Belemnite_1","Belemnite_1"
"Belemnite_1","Belemnite_2"
"Belemnite_1","Belemnite_3"
"Belemnite_1","Fish_1"
"Belemnite_2","Belemnite_2"
"Belemnite_2","Belemnite_3"
"Belemnite_3","Belemnite_3"
"Bivalve_10","Crustacean_1"
"Bivalve_10","Crustacean_2"
"Bivalve_11","Belemnite_2"
"Bivalve_11","Belemnite_3"
"Bivalve_12","Crustacean_1"
"Bivalve_12","Crustacean_7"
"Bivalve_12","Crustaceon_5"
"Bivalve_12","Echinoid_1"
"Bivalve_13","Crustacean_1"
"Bivalve_13","Crustacean_2"
"Bivalve_14","Crustacean_1"
"Bivalve_14","Crustacean_2"
"Bivalve_14","Crustacean_4"
"Bivalve_14","Scaphopod_1"
"Bivalve_16","Ammonite_2"
"Bivalve_16","Ammonite_3"
"Bivalve_16","Belemnite_1"
"Bivalve_16","Belemnite_2"
"Bivalve_16","Crustacean_1"
"Bivalve_16","Crustacean_2"
"Bivalve_16","Crustacean_7"
"Bivalve_16","Crustaceon_5"
"Bivalve_16","Echinoid_1"
"Bivalve_16","Fish_1"
"Bivalve_18","Ammonite_1"
"Bivalve_18","Ammonite_2"
"Bivalve_18","Crustacean_2"
"Bivalve_18","Crustacean_4"
"Bivalve_18","Crustaceon_6"
"Bivalve_18","Gastropod_2"
"Bivalve_18","Scaphopod_1"
"Bivalve_19","Ammonite_3"
"Bivalve_19","Belemnite_1"
"Bivalve_19","Belemnite_2"
"Bivalve_19","Belemnite_3"
"Bivalve_19","Crustacean_1"
"Bivalve_19","Crustacean_7"
"Bivalve_19","Crustaceon_5"
"Bivalve_19","Echinoid_1"
"Bivalve_19","Fish_1"
"Bivalve_20","Ammonite_2"
"Bivalve_20","Ammonite_3"
"Bivalve_20","Belemnite_1"
"Bivalve_20","Belemnite_2"
"Bivalve_20","Crustacean_1"
"Bivalve_20","Crustacean_2"
"Bivalve_20","Crustacean_7"
"Bivalve_20","Crustaceon_5"
"Bivalve_20","Echinoid_1"
"Bivalve_20","Fish_1"
"Bivalve_21","Ammonite_1"
"Bivalve_21","Ammonite_2"
"Bivalve_21","Ammonite_3"
"Bivalve_21","Belemnite_1"
"Bivalve_21","Crustacean_1"
"Bivalve_21","Crustacean_2"
"Bivalve_21","Crustacean_4"
"Bivalve_21","Crustacean_7"
"Bivalve_21","Crustaceon_5"
"Bivalve_21","Crustaceon_6"
"Bivalve_21","Echinoid_1"
"Bivalve_21","Fish_1"
"Bivalve_21","Scaphopod_1"
"Bivalve_24","Ammonite_1"
"Bivalve_24","Ammonite_2"
"Bivalve_24","Ammonite_3"
"Bivalve_24","Belemnite_1"
"Bivalve_24","Crustacean_1"
"Bivalve_24","Crustacean_2"
"Bivalve_24","Crustacean_4"
"Bivalve_24","Crustacean_7"
"Bivalve_24","Crustaceon_5"
"Bivalve_24","Crustaceon_6"
"Bivalve_24","Echinoid_1"
"Bivalve_24","Fish_1"
"Bivalve_24","Scaphopod_1"
"Bivalve_5","Crustacean_1"
"Bivalve_5","Crustacean_2"
"Bivalve_5","Crustacean_4"
"Bivalve_6","Crustacean_2"
"Bivalve_6","Crustacean_4"
"Bivalve_8","Crustacean_1"
"Bivalve_8","Crustacean_2"
"Bivalve_9","Crustacean_1"
"Brachiopod_1","Ammonite_1"
"Brachiopod_1","Ammonite_2"
"Brachiopod_1","Ammonite_3"
"Brachiopod_1","Belemnite_1"
"Brachiopod_1","Crustacean_1"
"Brachiopod_1","Crustacean_2"
"Brachiopod_1","Crustacean_4"
"Brachiopod_1","Crustacean_7"
"Brachiopod_1","Crustaceon_5"
"Brachiopod_1","Crustaceon_6"
"Brachiopod_1","Echinoid_1"
"Brachiopod_1","Fish_1"
"Brachiopod_1","Scaphopod_1"
"Brachiopod_2","Crustacean_1"
"Brachiopod_2","Crustacean_2"
"Brachiopod_2","Crustacean_4"
"Brachiopod_2","Scaphopod_1"
"Bryozoan_1","Ammonite_1"
"Bryozoan_1","Ammonite_2"
"Bryozoan_1","Crustacean_2"
"Bryozoan_1","Crustacean_4"
"Bryozoan_1","Crustaceon_6"
"Bryozoan_1","Gastropod_2"
"Bryozoan_1","Scaphopod_1"
"Crinoid_1","Ammonite_2"
"Crinoid_1","Ammonite_3"
"Crinoid_1","Belemnite_1"
"Crinoid_1","Belemnite_2"
"Crinoid_1","Crustacean_7"
"Crinoid_1","Crustaceon_5"
"Crinoid_1","Echinoid_1"
"Crinoid_1","Fish_1"
"Crinoid_2","Ammonite_1"
"Crinoid_2","Ammonite_2"
"Crinoid_2","Ammonite_3"
"Crinoid_2","Belemnite_1"
"Crinoid_2","Crustacean_7"
"Crinoid_2","Crustaceon_5"
"Crinoid_2","Crustaceon_6"
"Crinoid_2","Echinoid_1"
"Crinoid_2","Fish_1"
"Crustacean_1","Crustacean_1"
"Crustacean_1","Crustacean_7"
"Crustacean_1","Crustaceon_5"
"Crustacean_2","Crustacean_1"
"Crustacean_2","Crustacean_2"
"Crustacean_2","Crustacean_7"
"Crustacean_2","Crustaceon_5"
"Crustacean_4","Crustacean_1"
"Crustacean_4","Crustacean_2"
"Crustacean_4","Crustacean_4"
"Crustacean_4","Crustacean_7"
"Crustacean_4","Crustaceon_5"
"Crustacean_4","Crustaceon_6"
"Crustacean_7","Belemnite_1"
"Crustacean_7","Belemnite_2"
"Crustacean_7","Belemnite_3"
"Crustacean_7","Crustacean_1"
"Crustacean_7","Crustacean_7"
"Crustacean_7","Crustaceon_5"
"Crustacean_7","Fish_1"
"Crustaceon_5","Belemnite_1"
"Crustaceon_5","Belemnite_2"
"Crustaceon_5","Belemnite_3"
"Crustaceon_5","Crustacean_1"
"Crustaceon_5","Crustacean_7"
"Crustaceon_5","Crustaceon_5"
"Crustaceon_5","Fish_1"
"Crustaceon_6","Belemnite_1"
"Crustaceon_6","Crustacean_1"
"Crustaceon_6","Crustacean_2"
"Crustaceon_6","Crustacean_4"
"Crustaceon_6","Crustacean_7"
"Crustaceon_6","Crustaceon_5"
"Crustaceon_6","Crustaceon_6"
"Crustaceon_6","Fish_1"
"Echinoid_1","Ammonite_3"
"Echinoid_1","Belemnite_1"
"Echinoid_1","Belemnite_2"
"Echinoid_1","Belemnite_3"
"Echinoid_1","Crustacean_1"
"Echinoid_1","Crustacean_7"
"Echinoid_1","Crustaceon_5"
"Echinoid_1","Echinoid_1"
"Echinoid_1","Fish_1"
"Fish_1","Belemnite_1"
"Fish_1","Belemnite_2"
"Fish_1","Belemnite_3"
"Fish_1","Fish_1"
"Gastropod_1","Ammonite_1"
"Gastropod_1","Ammonite_2"
"Gastropod_1","Crustacean_2"
"Gastropod_1","Crustacean_4"
"Gastropod_1","Crustaceon_6"
"Gastropod_1","Gastropod_2"
"Gastropod_2","Ammonite_1"
"Gastropod_2","Ammonite_2"
"Gastropod_2","Crustacean_2"
"Gastropod_2","Crustacean_4"
"Gastropod_2","Crustaceon_6"
"Gastropod_2","Gastropod_2"
"Gastropod_4","Ammonite_1"
"Gastropod_4","Ammonite_2"
"Gastropod_4","Crustacean_2"
"Gastropod_4","Crustacean_4"
"Gastropod_4","Crustaceon_6"
"Gastropod_4","Gastropod_2"
"Gastropod_4","Scaphopod_1"
"Scaphopod_1","Crustacean_1"
"Scaphopod_1","Crustacean_2"
"Scaphopod_1","Crustacean_4"
"Scaphopod_1","Crustacean_7"
"Scaphopod_1","Crustaceon_5"
"Scaphopod_1","Crustaceon_6"
"Scaphopod_1","Echinoid_1"
"Scaphopod_1","Scaphopod_1"
"Serpulid_1","Ammonite_1"
"Serpulid_1","Ammonite_2"
"Serpulid_1","Ammonite_3"
"Serpulid_1","Belemnite_1"
"Serpulid_1","Crustacean_1"
"Serpulid_1","Crustacean_2"
"Serpulid_1","Crustacean_4"
