model,extinction_mechanism,n_rep,tss_link,tss_node
niche,random,1,0.1333333333333333,-0.19999999999999996
niche,generality_descending,1,0.26388888888888884,0.05714285714285716
niche,vulnerability_descending,1,0.3333333333333335,0.1428571428571428
niche,size_descending,1,0.1428571428571428,-0.11428571428571432
niche,motility_descending,1,0.11567821491485608,0.27857142857142847
niche,tiering_descending,1,0.0,-0.37142857142857144
niche,calcification_descending,1,0.125,0.05714285714285716
niche,generality_ascending,1,0.2053115423901941,0.1428571428571428
niche,vulnerability_ascending,1,0.5757575757575757,-0.2857142857142857
niche,size_ascending,1,0.3408521303258145,-0.06428571428571428
niche,motility_ascending,1,0.19999999999999996,-0.2857142857142857
niche,tiering_ascending,1,0.22417582417582427,0.3142857142857143
niche,calcification_ascending,1,0.25555555555555554,0.1428571428571428
niche,random,1,0.16666666666666652,0.05714285714285716
niche,generality_descending,1,0.26388888888888884,0.05714285714285716
niche,vulnerability_descending,1,0.3333333333333335,0.1428571428571428
niche,size_descending,1,0.1428571428571428,-0.11428571428571432
niche,motility_descending,1,0.1532467532467532,0.021428571428571352
niche,tiering_descending,1,0.0,-0.4571428571428572
niche,calcification_descending,1,0.07364341085271309,-0.11428571428571432
niche,generality_ascending,1,0.2053115423901941,0.1428571428571428
niche,vulnerability_ascending,1,0.5757575757575757,-0.2857142857142857
niche,size_ascending,1,0.3408521303258145,-0.02857142857142858
niche,motility_ascending,1,0.12121212121212133,0.1071428571428572
niche,tiering_ascending,1,0.1875,0.3142857142857143
niche,calcification_ascending,1,0.4666666666666668,-0.06428571428571428
niche,random,1,0.24242424242424243,-0.02857142857142858
niche,generality_descending,1,0.26388888888888884,0.05714285714285716
niche,vulnerability_descending,1,0.3333333333333335,0.1428571428571428
niche,size_descending,1,0.0535714285714286,-0.02857142857142858
niche,motility_descending,1,0.061776061776061875,0.021428571428571352
niche,tiering_descending,1,0.0,-0.4571428571428572
niche,calcification_descending,1,-0.11111111111111116,-0.11428571428571432
niche,generality_ascending,1,0.2053115423901941,0.1428571428571428
niche,vulnerability_ascending,1,0.5757575757575757,-0.2857142857142857
niche,size_ascending,1,0.3408521303258145,-0.06428571428571428
niche,motility_ascending,1,0.2390194075587333,0.1071428571428572
niche,tiering_ascending,1,0.19260129183793318,0.3142857142857143
niche,calcification_ascending,1,0.33220338983050857,-0.02857142857142858
niche,random,1,0.254954954954955,0.22857142857142865
niche,generality_descending,1,0.26388888888888884,0.05714285714285716
niche,vulnerability_descending,1,0.3333333333333335,0.1428571428571428
niche,size_descending,1,0.0535714285714286,-0.02857142857142858
niche,motility_descending,1,0.10837438423645329,-0.19999999999999996
niche,tiering_descending,1,0.33333333333333326,-0.37142857142857144
niche,calcification_descending,1,-0.029556650246305383,-0.19999999999999996
niche,generality_ascending,1,0.2053115423901941,0.1428571428571428
niche,vulnerability_ascending,1,0.5757575757575757,-0.2857142857142857
niche,size_ascending,1,0.3408521303258145,-0.09999999999999998
niche,motility_ascending,1,0.08903133903133909,0.050000000000000044
niche,tiering_ascending,1,0.17554858934169282,0.48571428571428577
niche,calcification_ascending,1,0.2816091954022988,-0.02857142857142858
niche,random,1,0.40625,-0.19999999999999996
niche,generality_descending,1,0.26388888888888884,0.05714285714285716
niche,vulnerability_descending,1,0.3333333333333335,0.1428571428571428
niche,size_descending,1,0.1428571428571428,-0.11428571428571432
niche,motility_descending,1,0.2599388379204892,0.22857142857142865
niche,tiering_descending,1,0.0,-0.4571428571428572
niche,calcification_descending,1,0.2014084507042253,0.021428571428571352
niche,generality_ascending,1,0.2053115423901941,0.1428571428571428
