"CV","Eigenvalue","Variance"
"CV1",28.1341108934276,53.2231938272614
"CV2",17.4491762596225,33.0097828116861
"CV3",4.77965422605221,9.04199405000188
"CV4",1.5844039293056,2.99732370251679
"CV5",0.913275917628039,1.72770560853381
"CV6",7.55563452339971e-16,1.42935030806604e-15
"CV7",-6.81628894794107e-16,-1.28948332233821e-15
"CV8",-1.11714676516925e-15,-2.11338183180301e-15
