model,connectance_mean,connectance_sd,trophic_level_mean,trophic_level_sd,generality_mean,generality_sd,vulnerability_mean,vulnerability_sd,S1_mean,S1_sd,S2_mean,S2_sd,S4_mean,S4_sd,S5_mean,S5_sd
adbm,0.29802893721633644,0.017327426423268646,14.9,4.394688067203419,0.9018447868433268,0.0950970226719908,0.8893875684610907,0.055939444397192,0,0,1.1891795037136292,0.4682133645068257,1.4537193023930912,0.6319601247904795,1.388700421776998,0.38716135560300313
lmatrix,0.22501328587976052,0.017083125371821658,15.729999999999999,6.889176429711994,1.0308905853380048,0.13852511505960546,1.0673260559901818,0.10422442588393219,0.029117614398456258,0.050232265847562414,0.45570629793691547,0.19810647479673782,1.341121138372087,0.5991332381639666,1.168589200978842,0.29309101275778404
log ratio,0.172040139464671,0.015592507318579316,19.91,10.106545188099526,0.6371490086645297,0.0896015753279354,0.689812103452544,0.140392942804688,0.749011383344356,0.2910246506903175,0.14107308450186265,0.06228854687146687,0.5286292125455662,0.20691721813886518,0.501418302683593,0.2151592029223665
niche,0.11815568471307515,0.03286852291481029,18.492499999999996,12.145316609246843,1.1245241534042545,0.16858984881044153,0.6482552278549367,0.16724715674015495,0.19243414892535565,0.10965308485639903,0.10885523911795429,0.08906629467987581,0.1434281044633316,0.08553018866352789,0.3231549581493264,0.1852909649508132
pfim,0.11852924057024648,0.02313363415956911,15.652499999999998,6.238512751720837,1.7226598049504294,0.15285355955382324,0.6326936244835074,0.0763279138405613,0.10449348774564579,0.035260275004154885,0.1390467422014206,0.03054568074374451,0.06442153014878568,0.04569658308268705,0.5227883377598015,0.14536982346967092
random,0.22138461585222885,0.04496279459184477,17.067500000000003,12.15492902072022,0.32638429094769844,0.08339362288174335,1.7046249021610531,0.2168757327961591,0.010758317315781751,0.012765139015064991,0.18085263103619362,0.09370888398209372,1.6233884657289273,0.6556233576352586,0.029690012216546262,0.021394813284502157
