model,emmean,SE,.group
PFIM,2.3696415959825092,0.0591511944963693,a
ADBM,2.6276075650505857,0.05915119449636943,b
ATN,2.6309705223618085,0.05915119449636978,b
niche,2.643913439578561,0.059151194496370595,b
random,2.645572904407332,0.05915119449636981,b
log ratio,2.9161416543321588,0.059151194496368895,c
