model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
bodymassratio,random,1,20,0.1525,5,0.9083988399021504,7.225148809523808,1.0,0.6245834833273851,0.5369025348104463,2.1,0.7159090909090909,-0.06666666666666667,0.5,1
bodymassratio,generality_descending,1,20,0.2175,3,0.8585106542713044,3.9999999999999996,3.0,0.5979570395509956,0.9789490058735009,3.4,0.7575757575757576,0.225,0.5,2
bodymassratio,vulnerability_descending,1,23,0.11720226843100189,5,0.9024284740750217,6.6875,1.0,0.7864228401752666,0.9252908124977489,1.7391304347826086,0.6470588235294118,0.09844559585492228,0.5,3
bodymassratio,size_descending,1,46,0.1885633270321361,5,0.840866482343548,7.088929547253805,1.0,0.6052134283584651,0.5953727734607804,7.695652173913044,0.6464753808005668,-0.0060901339829476245,0.5,4
bodymassratio,motility_descending,1,20,0.2025,4,0.8632305635728638,6.076488095238095,1.0,0.653149121639514,0.7096575643268224,3.1,0.5983263598326359,0.04054054054054054,0.482421875,5
bodymassratio,tiering_descending,1,35,0.1836734693877551,5,0.8546768531401069,7.106150523377087,1.0,0.5932811903356622,0.5725251435019275,5.457142857142857,0.6473469387755102,-0.013417521704814523,0.5,6
bodymassratio,calcification_descending,1,24,0.1857638888888889,5,0.8573091805563959,7.042029180695847,1.0,0.7123091708054845,0.6377806937470928,3.5,0.5424164524421594,-0.057356608478802994,0.5,7
bodymassratio,generality_ascending,1,21,0.18140589569160998,5,0.8845917913446023,6.724999999999999,1.0,0.7945517604284822,0.7313301238155039,2.857142857142857,0.5504587155963303,-0.0472972972972973,0.5,8
bodymassratio,vulnerability_ascending,1,20,0.23,3,0.8848893697872287,4.514285714285714,1.0,0.6441149673274256,0.7866663181614797,3.65,0.5662650602409639,0.0951276102088167,0.5,9
bodymassratio,size_ascending,1,20,0.2275,3,0.86087317892947,4.267857142857142,1.0,0.6276356346924096,0.8113715220626145,3.6,0.5609756097560976,0.12322274881516587,0.5,10
bodymassratio,motility_ascending,1,20,0.145,5,0.9148915998718524,6.995225694444444,1.0,0.5582643213625735,0.5582643213625735,1.95,0.75,0.0,0.482421875,11
bodymassratio,tiering_ascending,1,20,0.1375,6,0.898332264091962,7.0,4.0,0.5259676969822505,0.7725161546669433,1.8,0.959731543624161,0.1503267973856209,0.5,12
bodymassratio,calcification_ascending,1,20,0.17,5,0.8889853352654213,6.411666666666667,1.0,0.6429648136511956,0.7477276935468945,2.45,0.6391752577319587,0.08,0.5,13
bodymassratio,random,1,20,0.1425,5,0.9305816328372541,6.9127777777777775,1.0,0.5723199956165382,0.4301118379685086,1.9,0.8181818181818182,-0.09401709401709402,0.5,14
bodymassratio,generality_descending,1,20,0.2175,3,0.8585106542713044,3.9999999999999996,3.0,0.5979570395509956,0.9789490058735009,3.4,0.7575757575757576,0.225,0.5,15
bodymassratio,vulnerability_descending,1,23,0.11720226843100189,5,0.9024284740750217,6.6875,1.0,0.7864228401752666,0.9252908124977489,1.7391304347826086,0.6470588235294118,0.09844559585492228,0.5,16
bodymassratio,size_descending,1,46,0.1885633270321361,5,0.840866482343548,7.088929547253805,1.0,0.6052134283584651,0.5953727734607804,7.695652173913044,0.6464753808005668,-0.0060901339829476245,0.5,17
bodymassratio,motility_descending,1,20,0.15,5,0.9182030871217038,7.068611111111113,1.0,0.5186577368103327,0.5619514869490164,2.05,0.7840909090909091,0.030303030303030304,0.482421875,18
bodymassratio,tiering_descending,1,35,0.18285714285714286,5,0.8508725558901492,7.08384414218053,1.0,0.6652913586630783,0.6112927027066108,5.428571428571429,0.6060606060606061,-0.0366412213740458,0.5,19
bodymassratio,calcification_descending,1,20,0.175,5,0.8956303906697073,6.87283163265306,1.0,0.8621408170360397,0.6183724870662283,2.55,0.6292134831460674,-0.175,0.5,20
bodymassratio,generality_ascending,1,21,0.18140589569160998,5,0.8845917913446023,6.724999999999999,1.0,0.7945517604284822,0.7313301238155039,2.857142857142857,0.5504587155963303,-0.0472972972972973,0.5,21
bodymassratio,vulnerability_ascending,1,20,0.23,3,0.8848893697872287,4.514285714285714,1.0,0.6441149673274256,0.7866663181614797,3.65,0.5662650602409639,0.0951276102088167,0.5,22
bodymassratio,size_ascending,1,20,0.2275,3,0.8440884041939409,4.3061224489795915,1.0,0.6276356346924096,0.77940882756832,3.6,0.5348837209302325,0.105,0.5,23
bodymassratio,motility_ascending,1,20,0.175,4,0.9027575352432213,6.166626984126983,1.0,0.5751756841776023,0.6716604942594675,2.55,0.7077625570776256,0.06930693069306931,0.482421875,24
bodymassratio,tiering_ascending,1,20,0.175,4,0.8825417667047059,6.085119047619048,1.0,0.5444772027137345,0.7269553061817636,2.55,0.7832512315270936,0.11894273127753303,0.5,25
bodymassratio,calcification_ascending,1,20,0.2075,4,0.8476157471655562,5.529100529100529,1.0,0.6459828006944469,0.7091270403004011,3.2,0.6049382716049383,0.04430379746835443,0.5,26
bodymassratio,random,1,20,0.1675,5,0.9213678360522716,7.058564814814814,1.0,0.6069480034831044,0.6867037672771891,2.4,0.7362637362637363,0.05527638190954774,0.5,27
bodymassratio,generality_descending,1,20,0.2175,3,0.8585106542713044,3.9999999999999996,3.0,0.5979570395509956,0.9789490058735009,3.4,0.7575757575757576,0.225,0.5,28
bodymassratio,vulnerability_descending,1,23,0.11720226843100189,5,0.9024284740750217,6.6875,1.0,0.7864228401752666,0.9252908124977489,1.7391304347826086,0.6470588235294118,0.09844559585492228,0.5,29
bodymassratio,size_descending,1,46,0.1885633270321361,5,0.840866482343548,7.088929547253806,1.0,0.6052134283584651,0.5953727734607805,7.695652173913044,0.6464753808005668,-0.0060901339829476245,0.5,30
bodymassratio,motility_descending,1,20,0.1625,5,0.9152339393014061,6.416512345679012,1.0,0.5547001962252291,0.5456432579378606,2.3,0.8043478260869565,-0.005847953216374269,0.482421875,31
bodymassratio,tiering_descending,1,22,0.18801652892561985,5,0.8803156885139831,6.693263416477701,1.0,0.6387415387773603,0.676822149910459,3.1818181818181817,0.5627009646302251,0.029508196721311476,0.5,32
bodymassratio,calcification_descending,1,20,0.19,5,0.8919202238564444,6.504848484848485,1.0,0.7806524723258593,0.647986327632729,2.85,0.5454545454545454,-0.10236220472440945,0.5,33
bodymassratio,generality_ascending,1,21,0.18140589569160998,5,0.8845917913446023,6.724999999999999,1.0,0.7945517604284822,0.7313301238155039,2.857142857142857,0.5504587155963303,-0.0472972972972973,0.5,34
bodymassratio,vulnerability_ascending,1,20,0.23,3,0.8848893697872287,4.514285714285714,1.0,0.6441149673274256,0.7866663181614797,3.65,0.5662650602409639,0.0951276102088167,0.5,35
bodymassratio,size_ascending,1,20,0.23,3,0.860981800998824,4.46031746031746,1.0,0.6441149673274256,0.7706949780420178,3.65,0.549407114624506,0.08571428571428572,0.5,36
bodymassratio,motility_ascending,1,20,0.1875,4,0.8920954330304642,5.96513605442177,1.0,0.7022103781664569,0.6968601259131701,2.8,0.6180904522613065,-0.0038314176245210726,0.482421875,37
bodymassratio,tiering_ascending,1,20,0.135,5,0.9269833419583399,7.059895833333334,1.0,0.45121547876127965,0.6482177629003114,1.75,0.825503355704698,0.13761467889908258,0.5,38
bodymassratio,calcification_ascending,1,23,0.2003780718336484,4,0.8602004606054708,5.739094650205761,1.0,0.6334117106262083,0.6631222053721177,3.652173913043478,0.6253443526170799,0.020316027088036117,0.5000000000000001,39
bodymassratio,random,1,20,0.1725,5,0.8866387299436637,6.849489795918369,1.0,0.6747102065739001,0.687692834061714,2.5,0.63,0.01,0.5,40
bodymassratio,generality_descending,1,20,0.2175,3,0.8585106542713044,3.9999999999999996,3.0,0.5979570395509956,0.9789490058735009,3.4,0.7575757575757576,0.225,0.5,41
bodymassratio,vulnerability_descending,1,23,0.11720226843100189,5,0.9024284740750217,6.6875,1.0,0.7864228401752666,0.9252908124977489,1.7391304347826086,0.6470588235294118,0.09844559585492228,0.5,42
bodymassratio,size_descending,1,46,0.1885633270321361,5,0.840866482343548,7.088929547253805,1.0,0.6052134283584651,0.5953727734607804,7.695652173913044,0.6464753808005668,-0.0060901339829476245,0.5,43
bodymassratio,motility_descending,1,20,0.1825,4,0.8969056723974155,6.328605442176872,1.0,0.6548551525053139,0.7236360612519294,2.7,0.5272727272727272,0.05714285714285714,0.482421875,44
bodymassratio,tiering_descending,1,30,0.20333333333333334,5,0.8483912172792399,7.064338556014693,1.0,0.6798151677469316,0.6660439377812878,5.133333333333334,0.47058823529411764,-0.0102880658436214,0.5,45
bodymassratio,calcification_descending,1,20,0.17,5,0.9055154551733267,6.301339285714286,1.0,0.6569744063557171,0.5913231646470996,2.45,0.7405405405405405,-0.04477611940298507,0.5,46
bodymassratio,generality_ascending,1,21,0.18140589569160998,5,0.8845917913446023,6.724999999999999,1.0,0.7945517604284822,0.7313301238155039,2.857142857142857,0.5504587155963303,-0.0472972972972973,0.5,47
bodymassratio,vulnerability_ascending,1,20,0.23,3,0.8848893697872287,4.514285714285714,1.0,0.6441149673274256,0.7866663181614797,3.65,0.5662650602409639,0.0951276102088167,0.5,48
bodymassratio,size_ascending,1,20,0.2275,3,0.8570427395902571,4.392857142857142,4.0,0.6276356346924096,0.7826638378791376,3.6,0.568,0.10411622276029056,0.5,49
bodymassratio,motility_ascending,1,20,0.1525,5,0.9059201620579718,6.329166666666666,1.0,0.4446793377626228,0.6511921832801734,2.1,0.8295454545454546,0.13333333333333333,0.482421875,50
