id,model,richness,connectance,complexity,distance,basal,top,S1,S2,S4,S5
Berwick,bodymassratio,25,0.1376,0.8999459492190489,3.0,5.0,5.0,212.0,51.0,141.0,120.0
Blackrock,adbm,21,0.10430839002267574,0.8465423479050307,1.0,5.0,14.0,22.0,18.0,159.0,41.0
Blackrock,niche,21,0.08843537414965986,0.9324702558395094,2.0,7.0,3.0,16.0,2.0,14.0,23.0
Blackrock,bodymassratio,21,0.14285714285714285,0.9184799696553627,3.0,3.0,2.0,133.0,19.0,84.0,114.0
Broad,adbm,25,0.1056,0.8111029356697997,2.0,13.0,7.0,33.0,23.0,210.0,137.0
Broad,niche,25,0.08,0.9263455857155644,2.0,8.0,3.0,32.0,9.0,15.0,60.0
Broad,bodymassratio,25,0.1152,0.8880209561691444,3.0,7.0,5.0,153.0,18.0,116.0,144.0
Canton,adbm,23,0.11909262759924386,0.855132101439867,2.0,13.0,8.0,25.0,5.0,153.0,182.0
Canton,niche,23,0.08695652173913043,0.931565215178207,2.0,5.0,4.0,27.0,7.0,15.0,13.0
Canton,bodymassratio,23,0.13799621928166353,0.8923521460891487,3.0,4.0,7.0,185.0,32.0,126.0,100.0
Catlins,adbm,20,0.0725,0.881489175561628,2.0,14.0,3.0,15.0,3.0,17.0,62.0
Catlins,niche,20,0.095,0.9254129528379783,2.0,7.0,6.0,31.0,7.0,35.0,58.0
Catlins,bodymassratio,20,0.1175,0.9239729159552711,2.0,4.0,5.0,96.0,17.0,44.0,41.0
Dempsters,adbm,33,0.11294765840220386,0.8863900529553824,2.0,8.0,7.0,300.0,18.0,336.0,333.0
Dempsters,niche,33,0.09550045913682277,0.9049477013462257,3.0,7.0,1.0,60.0,3.0,90.0,118.0
Dempsters,bodymassratio,33,0.09641873278236915,0.8984300168354294,3.0,8.0,9.0,308.0,38.0,195.0,210.0
German,adbm,19,0.13573407202216067,0.8620388467818577,2.0,7.0,3.0,71.0,10.0,88.0,88.0
German,niche,19,0.11911357340720222,0.9041144726059187,2.0,7.0,3.0,37.0,13.0,24.0,59.0
