id,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
AkatoreB,15,0.05333333333333334,4,0.9174360595435326,15.0,2.0,1.352906923205415,2.3717082451262845,-0.13333333333333333,0.0,0.0044444444444444444,0.10222222222222223,0.02666666666666667
Berwick,25,0.0224,5,0.9256043786938453,25.0,2.0,2.0671137326411113,2.422260708259024,-0.4,0.0032,0.0016,0.0288,0.0192
Blackrock,21,0.05668934240362812,4,0.8865272708520547,4.0,2.0,0.8656096117765791,2.597475697672646,0.23809523809523808,0.0045351473922902496,0.018140589569160998,0.20408163265306123,0.011337868480725623
Broad,25,0.0416,4,0.8946954961655227,22.0,2.0,1.092097758807745,2.551249838734923,0.08,0.0128,0.0096,0.1232,0.0128
Canton,23,0.045368620037807186,6,0.9024509983854015,21.0,2.0,1.4295868054593377,2.0118415228668765,0.08695652173913043,0.022684310018903593,0.015122873345935728,0.07750472589792061,0.03213610586011342
Catlins,20,0.03,3,0.8606384211433353,6.0,2.0,1.6578715305161333,2.5014615610719404,-0.35,0.0,0.0,0.0475,0.0175
Dempsters,33,0.08999081726354453,14,0.9091718447550847,5.0,3.0,1.0361257602259235,1.6485494456901995,2.0,0.03489439853076217,0.07713498622589532,0.36363636363636365,0.15059687786960516
German,19,0.09141274238227147,6,0.862342852461787,2.0,2.0,1.0658360708598316,1.8690417353468924,0.7894736842105263,0.008310249307479225,0.05263157894736842,0.2299168975069252,0.060941828254847646
Healy,19,0.11357340720221606,8,0.8829920486520533,3.0,2.0,1.0506695031824744,1.6584170210370124,1.2105263157894737,0.036011080332409975,0.08310249307479224,0.30193905817174516,0.11080332409972299
Kyeburn,20,0.0625,6,0.8802952969762333,2.0,2.0,1.2139539573337679,2.215733215937904,0.3,0.01,0.0225,0.1675,0.04
Little,15,0.12444444444444444,5,0.8363857447566677,3.0,2.0,1.0688745068389751,1.513423898002054,0.9333333333333333,0.008888888888888889,0.057777777777777775,0.24444444444444444,0.12
Narrowdale,16,0.01953125,3,0.9594187282227442,15.0,2.0,2.794279871451677,1.9266551326067676,-0.625,0.0,0.0,0.00390625,0.015625
NorthCol,22,0.04132231404958678,6,0.8715056356657558,22.0,2.0,1.436596506959948,3.0345628068259565,-0.045454545454545456,0.0,0.012396694214876033,0.15082644628099173,0.022727272727272728
Powder,23,0.05671077504725898,8,0.8829914966181565,3.0,2.0,1.6578250325000639,1.95373250652967,0.34782608695652173,0.003780718336483932,0.026465028355387523,0.11720226843100189,0.07939508506616257
Stony,26,0.038461538461538464,5,0.876745009221885,4.0,2.0,1.2649110640673518,2.7712812921102037,0.038461538461538464,0.0073964497041420114,0.013313609467455622,0.1242603550295858,0.013313609467455622
Sutton,24,0.03298611111111111,2,0.8268693164916476,7.0,2.0,0.8311646275453622,3.8706036900525786,-0.16666666666666666,0.003472222222222222,0.003472222222222222,0.18055555555555555,0.001736111111111111
Venlaw,22,0.028925619834710745,6,0.8949496916598263,21.0,2.0,1.91206084536681,2.1981527716211655,-0.3181818181818182,0.006198347107438017,0.006198347107438017,0.030991735537190084,0.02066115702479339
