statistic,level,Pre-extinction,During extinction,Early extinction,Late extinction
Competition index,Meso,5493.449766934034,-765.5240363096918,-822.4013865820347,1760.6805326701797
Connectance,Macro,39.688549093142925,32.15691102991896,34.79191005034594,40.54694524097559
Generality,Micro,58.516064641467956,41.017463991379806,48.531258382119255,51.759894807620825
Max trophic level,Macro,41.65860219589236,31.46020413610458,32.30811753299605,39.325230952942704
Trophic index,Meso,-210.4783029848916,-233.99257895472311,-217.4841120694663,-246.12554747675316
Vulnerability,Micro,47.92762683677243,41.32708795556555,39.99020044665084,47.67690218667666
