model,time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
BMR,G1,1,strict_threshold,47,0.13218650973291082,8,0.8835626745751559,5.276011647681577e16,1.0,0.4769338488760354,0.5421484624441482,5.23404255319149,0.7980986871887732,0.022634676324128564,0.4400181077410593,0.4133091896785876
BMR,G1,1,narrow_niche,47,0.18062471706654595,6,0.8611470367102071,5.604855653441586e16,1.0,0.29563359349371215,0.2915237280904976,7.51063829787234,1.3703033046627433,0.030330466274332276,0.7098234495246718,0.7116342236306021
BMR,G1,1,wide_niche,47,0.09913988229968311,10,0.9033767764222911,-1.1835168897533923e17,1.0,0.5048520225344784,0.5166147130961627,3.6808510638297873,0.45993662290629245,0.019465821638750568,0.22227252150294252,0.21955636034404707
BMR,G1,1,relaxed_threshold,47,0.11770031688546853,9,0.8944510809129727,6.217509166805941e16,1.0,0.5261529171303577,0.5355205157544652,4.553191489361702,0.5717519239474875,0.033499320959710276,0.3245812584880036,0.32141240380262565
BMR,G1,1,baseline,47,0.13309189678587596,8,0.8802577943041655,3.0283905414203436e16,1.0,0.4261898447566168,0.43265868826782433,5.276595744680851,0.7455862381167949,0.022181982797645994,0.4038026256224536,0.40153915799004075
BMR,G1,1,shifted_optimum_low,47,0.1435038478949751,9,0.8681962955408953,3.679900273638364e16,1.0,0.389175581253475,0.4244177969492915,5.76595744680851,0.8564961521050249,0.09551833408782254,0.40199185151652334,0.38841104572204616
BMR,G1,1,shifted_optimum_high,47,0.12720688094160254,8,0.8817385603932011,5.694347551506444e18,1.0,0.3812345396614358,0.39224247494740727,5.0,0.7102761430511544,0.0004526935264825713,0.37347215934812134,0.3703033046627433
ADBM,G1,1,biomass_driven,47,0.23540063377093706,2,0.7851036932011847,3.429948646125114,3.0,0.7518320818440383,0.8770010013491308,10.085106382978724,0.6754187415119963,0.37483023992756903,1.789950203712087,1.530104119511091
ADBM,G1,1,high_attack,47,0.2883657763693979,1,0.7673590235703025,3.2346493233397977,2.0,0.8633117122555108,0.9272903937785781,12.574468085106384,0.0,1.3494794024445451,2.1050248981439563,1.885921231326392
ADBM,G1,1,low_attack,47,0.2892711634223631,1,0.7692729568038214,3.2361755748660497,2.0,0.8629093741196986,0.9246235531133804,12.617021276595745,0.0,1.3630602082390222,2.1041195110909916,1.8918062471706654
ADBM,G1,1,power_handling,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
ADBM,G1,1,high_handling,47,0.2883657763693979,1,0.7673590235703025,3.2346493233397977,2.0,0.8633117122555108,0.9272903937785781,12.574468085106384,0.0,1.3494794024445451,2.1050248981439563,1.885921231326392
ADBM,G1,1,low_handling,47,0.2888184698958805,1,0.7671758734043348,3.2361755748660497,2.0,0.8614021607408042,0.9272294784799623,12.595744680851064,0.0,1.355817111815301,2.109551833408782,1.883657763693979
ADBM,G1,1,strict_ratio,47,0.23630602082390223,1,0.7725733394550046,2.986398736398738,2.0,0.9893949218064843,1.0375632806531876,10.127659574468085,0.0,0.6835672249886826,1.8931643277501131,1.767768220914441
ADBM,G1,1,relaxed_ratio,47,0.38071525577184245,1,0.7542426969189383,3.9217602274441736,2.0,0.7395972570301582,0.7428947662897448,16.914893617021278,0.0,3.3924852874603895,1.663196016296967,1.6468990493435944
ADBM,G1,1,baseline,47,0.2883657763693979,1,0.7673590235703025,3.2346493233397977,2.0,0.8633117122555108,0.9272903937785781,12.574468085106384,0.0,1.3494794024445451,2.1050248981439563,1.885921231326392
BMR,G2,1,strict_threshold,20,0.1225,3,0.8967438498134173,3.805555555555556,3.0,0.8528355793440611,0.7997785703770806,1.5,0.225,0.005,0.175,0.1875
BMR,G2,1,narrow_niche,20,0.18,5,0.8926442693482575,10.059259259259257,3.0,0.6398099132915954,0.5868385358737825,2.65,0.3925,0.005,0.335,0.355
BMR,G2,1,wide_niche,20,0.08,4,0.9359995723874693,5.208333333333333,2.0,1.0418859418331134,0.8211833566647329,0.65,0.11,0.01,0.055,0.08
BMR,G2,1,relaxed_threshold,20,0.105,5,0.9196134992000448,4.0,3.0,1.0467072815214948,0.7230044328726173,1.15,0.135,0.015,0.0975,0.1575
BMR,G2,1,baseline,20,0.12,5,0.9146310620495469,5.0,4.0,0.8377078165833911,0.7575159466022647,1.45,0.235,0.005,0.1575,0.175
BMR,G2,1,shifted_optimum_low,20,0.1225,5,0.9005603055803814,4.542335390946501,4.0,0.8424915267484757,0.7189505493213059,1.5,0.245,0.025,0.1375,0.165
BMR,G2,1,shifted_optimum_high,20,0.125,5,0.9098880764639978,4.911764705882352,4.0,0.8360307221753591,0.7622680837992283,1.55,0.255,0.0,0.18,0.1975
ADBM,G2,1,biomass_driven,20,0.2525,2,0.8281796099579046,3.1675824175824183,3.0,0.9073838727043706,0.801082237138685,4.1,0.295,0.2,0.7,0.81
ADBM,G2,1,high_attack,20,0.285,1,0.817385825980132,3.1101774042950514,2.0,0.982752890152525,0.8947458946186272,4.75,0.0,0.5675,0.72,0.8475
ADBM,G2,1,low_attack,20,0.285,1,0.817385825980132,3.1101774042950514,2.0,0.982752890152525,0.8947458946186272,4.75,0.0,0.5675,0.72,0.8475
ADBM,G2,1,power_handling,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
ADBM,G2,1,high_handling,20,0.285,1,0.817385825980132,3.1101774042950514,2.0,0.982752890152525,0.8947458946186272,4.75,0.0,0.5675,0.72,0.8475
ADBM,G2,1,low_handling,20,0.285,1,0.817385825980132,3.1101774042950514,2.0,0.982752890152525,0.8947458946186272,4.75,0.0,0.5675,0.72,0.8475
ADBM,G2,1,strict_ratio,20,0.255,1,0.8210720196088488,2.9911111111111115,2.0,0.9935138401153855,1.023608883905658,4.15,0.0,0.38,0.79,0.7525
ADBM,G2,1,relaxed_ratio,20,0.375,1,0.8135282021902223,3.433333333333334,2.0,0.8416080403413762,0.6955161321338849,6.55,0.0,1.4,0.465,0.765
ADBM,G2,1,baseline,20,0.285,1,0.817385825980132,3.1101774042950514,2.0,0.982752890152525,0.8947458946186272,4.75,0.0,0.5675,0.72,0.8475
BMR,G3,1,strict_threshold,28,0.12372448979591837,6,0.8848362184711905,7.844984802431608,3.0,0.7796472613883647,0.7953229444618152,2.5,0.3380102040816326,0.012755102040816327,0.27040816326530615,0.2653061224489796
BMR,G3,1,narrow_niche,28,0.18494897959183673,6,0.8757315616440317,9.677035895681545,3.0,0.5924020920733771,0.5230680752909305,4.214285714285714,0.6607142857142857,0.021683673469387755,0.49107142857142855,0.5267857142857143
BMR,G3,1,wide_niche,28,0.08801020408163265,9,0.944300936023181,11.349036130995996,1.0,0.8076932551652192,0.5996827818142554,1.5,0.21045918367346939,0.01403061224489796,0.08801020408163265,0.11862244897959184
BMR,G3,1,relaxed_threshold,28,0.12244897959183673,5,0.8854968452401403,4.6974206349206336,3.0,0.7955153362479955,0.7337050124317605,2.4642857142857144,0.27933673469387754,0.01913265306122449,0.2385204081632653,0.2576530612244898
BMR,G3,1,baseline,28,0.13520408163265307,7,0.895857892518153,9.794136246047717,3.0,0.7093640776201097,0.56314190534789,2.8214285714285716,0.40561224489795916,0.00510204081632653,0.2614795918367347,0.30739795918367346
