time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
G1,1,strict_threshold,47,0.15572657311000454,8,0.8644303686154005,94.44217829830274,2.0,0.4603458598925902,0.375909104104802,6.340425531914893,1.038026256224536,0.027161611588954276,0.5436849253055681,0.5830692621095518
G1,1,narrow_niche,47,0.1765504753282028,5,0.8669701843974372,6.383891166501557e16,1.0,0.3948598501139702,0.28531255319141535,7.319148936170213,1.3173381620642826,0.014486192847442281,0.6880941602535083,0.7415119963784518
G1,1,wide_niche,47,0.1136260751471254,8,0.8948484280049928,1.592780138667749e16,1.0,0.5976193774816033,0.5139610077329885,4.361702127659575,0.5142598460842009,0.0362154821186057,0.2888184698958805,0.31643277501131734
G1,1,relaxed_threshold,47,0.12494341330918968,8,0.8818114321873455,3.701881092570401e17,1.0,0.682654314260626,0.6125672027937049,4.8936170212765955,0.6373924852874604,0.045722046174739704,0.39339067451335447,0.4259846084200996
G1,1,baseline,47,0.1371661385242191,8,0.8726172019104124,1.7598862586760442e16,1.0,0.5162954243256473,0.4251810254560699,5.468085106382978,0.851063829787234,0.027161611588954276,0.42462652784065186,0.4617473970122227
G1,1,shifted_optimum_low,47,0.1498415572657311,8,0.8757599419124553,-6.514820088230719e17,1.0,0.4509310139147184,0.40375018422448605,6.0638297872340425,0.939791760977818,0.11272068809416025,0.42417383431416933,0.44499773653236757
G1,1,shifted_optimum_high,47,0.12086917157084653,7,0.8864038157064944,-7.869120586077301e16,1.0,0.5942394460431865,0.46298453011104507,4.702127659574468,0.6803983703033046,0.0,0.3549117247623359,0.40153915799004075
G2,1,strict_threshold,20,0.165,6,0.9073026604187253,1.4724624060150369,1.0,0.5022784104118933,0.6675360432585983,2.35,0.4475,0.015,0.29,0.24
G2,1,narrow_niche,20,0.1775,6,0.8853257099929515,10.281618313689934,4.0,0.4961771396724506,0.5287740542410431,2.6,0.505,0.01,0.3,0.29
G2,1,wide_niche,20,0.12,5,0.9207093853263627,6.5,4.0,0.6398099132915954,0.6813085105513563,1.45,0.2425,0.0075,0.14,0.1325
G2,1,relaxed_threshold,20,0.115,9,0.9354838213390423,12.516129032258064,1.0,0.6479650611918215,0.734336316607024,1.35,0.24,0.005,0.1375,0.1225
G2,1,baseline,20,0.1475,8,0.9002062103495292,-6.671914966601853e16,1.0,0.47272481973912406,0.6170197291291873,2.0,0.4325,0.0025,0.22,0.1875
G2,1,shifted_optimum_low,20,0.1475,7,0.9122048240587272,1.9525089605734747,1.0,0.4853498665517408,0.6363213195104077,2.0,0.3925,0.0175,0.21,0.175
G2,1,shifted_optimum_high,20,0.12,8,0.9122077196595051,58.242966751918196,1.0,0.6677622576550266,0.7453559924999299,1.45,0.3025,0.0,0.16,0.145
G3,1,strict_threshold,28,0.15306122448979592,7,0.8784251299358199,-2.7021597764222973e17,1.0,0.5345664756346287,0.7096048862925098,3.3214285714285716,0.548469387755102,0.011479591836734694,0.399234693877551,0.33035714285714285
G3,1,narrow_niche,28,0.17346938775510204,7,0.884742826649515,1.048062095317109e18,1.0,0.38705835998674326,0.5336912486074601,3.892857142857143,0.7079081632653061,0.008928571428571428,0.4413265306122449,0.3864795918367347
G3,1,wide_niche,28,0.11096938775510204,5,0.9007590556215291,6.575937499999999,1.0,0.6152736602650062,0.651611393051261,2.142857142857143,0.34311224489795916,0.01403061224489796,0.17346938775510204,0.16581632653061223
G3,1,relaxed_threshold,28,0.11224489795918367,9,0.9078523475246443,12.95742711707543,3.0,0.7020020345007699,0.6578852318357085,2.1785714285714284,0.32653061224489793,0.02423469387755102,0.16964285714285715,0.1798469387755102
G3,1,baseline,28,0.1377551020408163,8,0.8866938803124649,1.0130777718476728e17,1.0,0.47708236201446713,0.5849125096165312,2.892857142857143,0.5510204081632653,0.006377551020408163,0.2780612244897959,0.24872448979591838
G3,1,shifted_optimum_low,28,0.14158163265306123,7,0.8987141762116517,-5.5938782057318696e16,1.0,0.457889852005942,0.5763784277467814,3.0,0.5255102040816326,0.03826530612244898,0.2614795918367347,0.22831632653061223
G3,1,shifted_optimum_high,28,0.12244897959183673,8,0.905315119462165,27.4863683127572,4.0,0.5408945113679594,0.6421014239846596,2.4642857142857144,0.4387755102040816,0.0012755102040816326,0.2308673469387755,0.2066326530612245
G4,1,strict_threshold,44,0.14204545454545456,8,0.8856619575632504,92.72613938145837,2.0,0.3554754431710782,0.3781964544248596,5.2727272727272725,0.8589876033057852,0.017045454545454544,0.41787190082644626,0.4106404958677686
G4,1,narrow_niche,44,0.1678719008264463,5,0.873460625725877,1.0414784336211714e17,1.0,0.30091571633318664,0.24983473276855803,6.409090909090909,1.1818181818181819,0.011880165289256199,0.5619834710743802,0.5790289256198347
G4,1,wide_niche,44,0.10382231404958678,8,0.9023261119886697,5.171841720735175e16,1.0,0.44387219288813407,0.42593519630272436,3.590909090909091,0.4225206611570248,0.024793388429752067,0.2024793388429752,0.20609504132231404
G4,1,relaxed_threshold,44,0.10898760330578512,8,0.90240662115002,5.093507614829401e16,1.0,0.5591482940141108,0.4642884961103856,3.8181818181818183,0.5082644628099173,0.030475206611570247,0.23140495867768596,0.256198347107438
G4,1,baseline,44,0.1265495867768595,7,0.8927552321262807,5.293946959757122e16,1.0,0.37830003051617467,0.4013884834713919,4.590909090909091,0.7122933884297521,0.020144628099173553,0.3243801652892562,0.3181818181818182
G4,1,shifted_optimum_low,44,0.13946280991735538,8,0.8806779754763858,5.753582041600881e17,1.0,0.3135461084955099,0.32324478612467505,5.159090909090909,0.7789256198347108,0.08419421487603305,0.31766528925619836,0.31508264462809915
