id,model,richness,connectance,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
during_traits,pfim,54,0.14574759945130317,0.8896802952873869,2.0,42.0,0.0,15.163320062965623,2.3715793344273512,22.0,57.0,0.0,1729.0
post_traits,pfim,53,0.12068351726593093,0.9212029159012465,2.0,38.0,7.0,10.983098243422639,3.904334980513078,34.0,40.0,31.0,521.0
pre_traits,pfim,355,0.0547589763935727,0.8122896485211729,2.0,327.0,21.0,72.44923116035737,5.836628904585391,27.0,185.0,178.0,85719.0
