downsample_y,similarity
5.0,0.6628352490421456
10.0,0.7701149425287356
20.0,0.8007662835249042
30.0,0.7931034482758621
50.0,0.7701149425287356
100.0,0.8314176245210728
5.0,0.8285714285714286
10.0,0.9
20.0,0.8714285714285714
30.0,0.8714285714285714
50.0,0.8142857142857143
100.0,0.9285714285714286
5.0,0.8235294117647058
10.0,0.8627450980392157
20.0,0.8823529411764706
30.0,0.9117647058823529
50.0,0.8725490196078431
100.0,0.8725490196078431
5.0,0.6452830188679245
10.0,0.7735849056603774
20.0,0.7924528301886793
30.0,0.7849056603773585
50.0,0.8226415094339623
100.0,0.7547169811320755
5.0,0.6628352490421456
10.0,0.7164750957854407
20.0,0.8045977011494253
30.0,0.8084291187739464
50.0,0.842911877394636
100.0,0.7739463601532567
5.0,0.8
10.0,0.8714285714285714
20.0,0.9
30.0,0.8714285714285714
50.0,0.9142857142857143
100.0,0.9571428571428572
5.0,0.8235294117647058
10.0,0.8921568627450981
20.0,0.9411764705882353
30.0,0.8235294117647058
50.0,0.8137254901960784
100.0,0.8823529411764706
5.0,0.630188679245283
10.0,0.7471698113207547
20.0,0.7622641509433963
30.0,0.8339622641509434
50.0,0.8075471698113208
100.0,0.8377358490566038
5.0,0.7011494252873564
10.0,0.7509578544061303
20.0,0.7816091954022989
30.0,0.8045977011494253
50.0,0.8275862068965517
100.0,0.842911877394636
5.0,0.8142857142857143
10.0,0.9
20.0,0.8571428571428571
30.0,0.8571428571428571
50.0,0.8428571428571429
100.0,0.9285714285714286
5.0,0.7549019607843137
10.0,0.8431372549019608
20.0,0.8529411764705882
30.0,0.8235294117647058
50.0,0.8529411764705882
100.0,0.8725490196078431
5.0,0.7018867924528301
10.0,0.7396226415094339
20.0,0.769811320754717
30.0,0.7924528301886793
50.0,0.8075471698113208
100.0,0.7735849056603774
5.0,0.6973180076628352
10.0,0.8007662835249042
20.0,0.8275862068965517
30.0,0.8199233716475096
50.0,0.8620689655172413
100.0,0.8352490421455939
5.0,0.8
10.0,0.8714285714285714
20.0,0.8571428571428571
30.0,0.8285714285714286
50.0,0.8571428571428571
100.0,0.9285714285714286
5.0,0.7549019607843137
10.0,0.8823529411764706
20.0,0.8823529411764706
30.0,0.8529411764705882
50.0,0.8921568627450981
100.0,0.9117647058823529
5.0,0.6
10.0,0.7471698113207547
20.0,0.8150943396226416
30.0,0.8226415094339623
50.0,0.8226415094339623
100.0,0.8603773584905661
5.0,0.6475095785440613
10.0,0.7816091954022989
20.0,0.7624521072796935
30.0,0.7739463601532567
50.0,0.8122605363984674
100.0,0.8007662835249042
5.0,0.8857142857142857
10.0,0.8142857142857143
20.0,0.9571428571428572
30.0,0.9
50.0,0.9142857142857143
100.0,0.9428571428571428
5.0,0.8627450980392157
10.0,0.8431372549019608
20.0,0.9019607843137255
30.0,0.8725490196078431
50.0,0.8823529411764706
100.0,0.8529411764705882
5.0,0.6377358490566037
10.0,0.720754716981132
20.0,0.7433962264150943
30.0,0.7924528301886793
50.0,0.8188679245283019
100.0,0.8301886792452831
5.0,0.685823754789272
10.0,0.7509578544061303
20.0,0.8275862068965517
30.0,0.7739463601532567
50.0,0.7854406130268199
100.0,0.7739463601532567
5.0,0.8142857142857143
10.0,0.9142857142857143
20.0,0.8
30.0,0.9142857142857143
50.0,0.8428571428571429
100.0,0.9285714285714286
5.0,0.8333333333333334
10.0,0.8235294117647058
20.0,0.9019607843137255
30.0,0.803921568627451
50.0,0.8725490196078431
100.0,0.8823529411764706
5.0,0.6490566037735849
10.0,0.720754716981132
20.0,0.7962264150943397
30.0,0.7622641509433963
50.0,0.8264150943396227
100.0,0.7849056603773585
5.0,0.6819923371647509
10.0,0.7509578544061303
20.0,0.8084291187739464
30.0,0.8467432950191571
50.0,0.8045977011494253
100.0,0.8122605363984674
5.0,0.8285714285714286
10.0,0.8285714285714286
20.0,0.8857142857142857
30.0,0.9571428571428572
50.0,0.9142857142857143
100.0,0.9857142857142858
5.0,0.8431372549019608
10.0,0.8431372549019608
20.0,0.8823529411764706
30.0,0.9117647058823529
50.0,0.8823529411764706
100.0,0.8823529411764706
5.0,0.6679245283018868
10.0,0.7660377358490567
20.0,0.769811320754717
30.0,0.8113207547169812
50.0,0.8226415094339623
100.0,0.7924528301886793
5.0,0.6590038314176245
10.0,0.7624521072796935
20.0,0.7662835249042146
30.0,0.789272030651341
50.0,0.8544061302681992
100.0,0.8160919540229885
5.0,0.8857142857142857
10.0,0.9571428571428572
20.0,0.9
30.0,0.9
50.0,0.8857142857142857
100.0,0.8714285714285714
5.0,0.7941176470588235
10.0,0.8529411764705882
20.0,0.8823529411764706
30.0,0.9411764705882353
50.0,0.8235294117647058
100.0,0.9117647058823529
5.0,0.6641509433962264
10.0,0.7509433962264151
20.0,0.7886792452830189
30.0,0.7886792452830189
50.0,0.7962264150943397
100.0,0.7886792452830189
5.0,0.6781609195402298
10.0,0.7471264367816092
20.0,0.8122605363984674
30.0,0.8314176245210728
50.0,0.8084291187739464
100.0,0.8352490421455939
5.0,0.7571428571428571
10.0,0.8571428571428571
20.0,0.9142857142857143
30.0,0.8714285714285714
50.0,0.9285714285714286
100.0,0.9571428571428572
5.0,0.8431372549019608
10.0,0.8627450980392157
20.0,0.9313725490196079
30.0,0.8627450980392157
50.0,0.8823529411764706
100.0,0.9411764705882353
5.0,0.6641509433962264
10.0,0.7283018867924528
20.0,0.7849056603773585
30.0,0.8226415094339623
50.0,0.8377358490566038
100.0,0.8490566037735849
5.0,0.6743295019157088
10.0,0.7547892720306514
20.0,0.7777777777777778
30.0,0.7739463601532567
50.0,0.7969348659003831
100.0,0.7931034482758621
5.0,0.8714285714285714
10.0,0.9
20.0,0.8857142857142857
30.0,0.8571428571428571
50.0,0.8571428571428571
100.0,0.9285714285714286
5.0,0.7843137254901961
10.0,0.8627450980392157
20.0,0.8921568627450981
30.0,0.8627450980392157
50.0,0.9215686274509803
100.0,0.9019607843137255
5.0,0.7094339622641509
10.0,0.6943396226415094
20.0,0.7849056603773585
30.0,0.8113207547169812
50.0,0.8037735849056604
100.0,0.8150943396226416
5.0,0.6513409961685823
10.0,0.7432950191570882
20.0,0.7854406130268199
30.0,0.8084291187739464
50.0,0.8199233716475096
100.0,0.8045977011494253
5.0,0.8428571428571429
10.0,0.8428571428571429
20.0,0.8428571428571429
30.0,0.8714285714285714
50.0,0.9142857142857143
100.0,0.8714285714285714
5.0,0.803921568627451
10.0,0.8921568627450981
20.0,0.8921568627450981
30.0,0.9215686274509803
50.0,0.8235294117647058
100.0,0.8823529411764706
5.0,0.6716981132075471
10.0,0.7509433962264151
20.0,0.8
30.0,0.7924528301886793
50.0,0.8037735849056604
100.0,0.7735849056603774
5.0,0.6781609195402298
10.0,0.7624521072796935
20.0,0.8084291187739464
30.0,0.8084291187739464
50.0,0.7931034482758621
100.0,0.8160919540229885
5.0,0.8714285714285714
10.0,0.9285714285714286
20.0,0.8285714285714286
30.0,0.9142857142857143
50.0,0.8571428571428571
100.0,0.8285714285714286
5.0,0.8137254901960784
10.0,0.7647058823529411
20.0,0.8823529411764706
30.0,0.8921568627450981
50.0,0.9117647058823529
100.0,0.9215686274509803
5.0,0.6528301886792452
10.0,0.7547169811320755
20.0,0.7811320754716982
30.0,0.8301886792452831
50.0,0.8037735849056604
100.0,0.8264150943396227
5.0,0.7203065134099617
10.0,0.7701149425287356
20.0,0.7662835249042146
30.0,0.7854406130268199
50.0,0.8122605363984674
100.0,0.8237547892720306
5.0,0.8571428571428571
10.0,0.8857142857142857
20.0,0.9285714285714286
30.0,0.8857142857142857
50.0,0.9142857142857143
100.0,0.8571428571428571
5.0,0.8627450980392157
10.0,0.8627450980392157
20.0,0.8823529411764706
30.0,0.8431372549019608
50.0,0.8529411764705882
100.0,0.8333333333333334
5.0,0.6415094339622641
10.0,0.7396226415094339
20.0,0.7471698113207547
30.0,0.8150943396226416
50.0,0.8037735849056604
100.0,0.7849056603773585
5.0,0.6743295019157088
10.0,0.7816091954022989
20.0,0.7624521072796935
30.0,0.8007662835249042
50.0,0.8199233716475096
100.0,0.789272030651341
5.0,0.8
10.0,0.9142857142857143
20.0,0.8571428571428571
30.0,0.9
50.0,0.9428571428571428
100.0,0.8571428571428571
5.0,0.803921568627451
10.0,0.7843137254901961
20.0,0.8921568627450981
30.0,0.8725490196078431
50.0,0.8921568627450981
100.0,0.8921568627450981
5.0,0.630188679245283
10.0,0.7509433962264151
20.0,0.8264150943396227
30.0,0.8603773584905661
50.0,0.7811320754716982
100.0,0.8037735849056604
5.0,0.6781609195402298
10.0,0.7854406130268199
20.0,0.8160919540229885
30.0,0.8122605363984674
50.0,0.7931034482758621
100.0,0.8084291187739464
5.0,0.8714285714285714
10.0,0.8714285714285714
20.0,0.8571428571428571
30.0,0.8714285714285714
50.0,0.8714285714285714
100.0,0.8857142857142857
5.0,0.8431372549019608
10.0,0.803921568627451
20.0,0.9117647058823529
30.0,0.9019607843137255
50.0,0.7941176470588235
100.0,0.9313725490196079
5.0,0.6754716981132075
10.0,0.769811320754717
20.0,0.7622641509433963
30.0,0.7962264150943397
50.0,0.7886792452830189
100.0,0.8301886792452831
5.0,0.6819923371647509
10.0,0.7586206896551724
20.0,0.7969348659003831
30.0,0.7969348659003831
50.0,0.8237547892720306
100.0,0.8045977011494253
5.0,0.9142857142857143
10.0,0.8571428571428571
20.0,0.8714285714285714
30.0,0.8857142857142857
50.0,0.9
100.0,0.9
5.0,0.803921568627451
10.0,0.8431372549019608
20.0,0.8529411764705882
30.0,0.8431372549019608
50.0,0.8627450980392157
100.0,0.9019607843137255
5.0,0.6528301886792452
10.0,0.769811320754717
20.0,0.7811320754716982
30.0,0.8113207547169812
50.0,0.8264150943396227
100.0,0.8377358490566038
5.0,0.6436781609195402
10.0,0.7739463601532567
20.0,0.789272030651341
30.0,0.7662835249042146
50.0,0.8045977011494253
100.0,0.8237547892720306
5.0,0.8
10.0,0.8714285714285714
20.0,0.9142857142857143
30.0,0.9142857142857143
50.0,0.9142857142857143
100.0,0.9285714285714286
5.0,0.803921568627451
10.0,0.8823529411764706
20.0,0.8921568627450981
30.0,0.8529411764705882
50.0,0.9019607843137255
100.0,0.9117647058823529
5.0,0.6679245283018868
10.0,0.720754716981132
20.0,0.7471698113207547
30.0,0.7660377358490567
50.0,0.7962264150943397
100.0,0.8188679245283019
5.0,0.6781609195402298
10.0,0.685823754789272
20.0,0.7777777777777778
30.0,0.7931034482758621
50.0,0.8505747126436781
100.0,0.8160919540229885
5.0,0.9142857142857143
10.0,0.8142857142857143
20.0,0.8285714285714286
30.0,0.8714285714285714
50.0,0.9
100.0,0.9
5.0,0.8333333333333334
10.0,0.8627450980392157
20.0,0.8431372549019608
30.0,0.8627450980392157
50.0,0.8823529411764706
100.0,0.8921568627450981
5.0,0.690566037735849
10.0,0.769811320754717
20.0,0.7358490566037735
30.0,0.8150943396226416
50.0,0.8
100.0,0.8377358490566038
5.0,0.6590038314176245
10.0,0.7662835249042146
20.0,0.7816091954022989
30.0,0.7471264367816092
50.0,0.8199233716475096
100.0,0.8084291187739464
5.0,0.9
10.0,0.8571428571428571
20.0,0.8142857142857143
30.0,0.8857142857142857
50.0,0.9142857142857143
100.0,0.9571428571428572
5.0,0.8137254901960784
10.0,0.9019607843137255
20.0,0.8921568627450981
30.0,0.8529411764705882
50.0,0.9019607843137255
100.0,0.8823529411764706
5.0,0.6679245283018868
10.0,0.7056603773584905
20.0,0.7471698113207547
30.0,0.7886792452830189
50.0,0.8
100.0,0.8339622641509434
5.0,0.6781609195402298
10.0,0.7662835249042146
20.0,0.8352490421455939
30.0,0.7931034482758621
50.0,0.7624521072796935
100.0,0.8314176245210728
5.0,0.8428571428571429
10.0,0.8571428571428571
20.0,0.8428571428571429
30.0,0.9285714285714286
50.0,0.9285714285714286
100.0,0.9
5.0,0.8137254901960784
10.0,0.8529411764705882
20.0,0.8627450980392157
30.0,0.8725490196078431
50.0,0.9215686274509803
100.0,0.8725490196078431
5.0,0.5962264150943396
10.0,0.7849056603773585
20.0,0.7849056603773585
30.0,0.7811320754716982
50.0,0.7849056603773585
100.0,0.8113207547169812
5.0,0.6934865900383141
10.0,0.7471264367816092
20.0,0.7777777777777778
30.0,0.8007662835249042
50.0,0.8199233716475096
100.0,0.789272030651341
5.0,0.8714285714285714
10.0,0.8571428571428571
20.0,0.8428571428571429
30.0,0.8571428571428571
50.0,0.8857142857142857
100.0,0.9142857142857143
5.0,0.8431372549019608
10.0,0.8921568627450981
20.0,0.9117647058823529
30.0,0.8823529411764706
50.0,0.8431372549019608
100.0,0.9117647058823529
5.0,0.6679245283018868
10.0,0.7509433962264151
20.0,0.7924528301886793
30.0,0.7811320754716982
50.0,0.8377358490566038
100.0,0.8188679245283019
5.0,0.6704980842911877
10.0,0.7509578544061303
20.0,0.8275862068965517
30.0,0.7854406130268199
50.0,0.8160919540229885
100.0,0.8084291187739464
5.0,0.8571428571428571
10.0,0.9
20.0,0.9285714285714286
30.0,0.9142857142857143
50.0,0.9
100.0,0.8714285714285714
5.0,0.7941176470588235
10.0,0.8627450980392157
20.0,0.8627450980392157
30.0,0.9019607843137255
50.0,0.8627450980392157
100.0,0.9313725490196079
5.0,0.6867924528301886
10.0,0.7358490566037735
20.0,0.8301886792452831
30.0,0.8415094339622642
50.0,0.8
100.0,0.8452830188679246
5.0,0.6896551724137931
10.0,0.7662835249042146
20.0,0.7969348659003831
30.0,0.7662835249042146
50.0,0.7854406130268199
100.0,0.8007662835249042
5.0,0.8857142857142857
10.0,0.9142857142857143
20.0,0.8857142857142857
30.0,0.9285714285714286
50.0,0.9285714285714286
100.0,0.9285714285714286
5.0,0.7745098039215687
10.0,0.8431372549019608
20.0,0.8627450980392157
30.0,0.9117647058823529
50.0,0.8823529411764706
100.0,0.9019607843137255
5.0,0.6867924528301886
10.0,0.7849056603773585
20.0,0.8150943396226416
30.0,0.7584905660377359
50.0,0.7886792452830189
100.0,0.7924528301886793
5.0,0.6743295019157088
10.0,0.735632183908046
20.0,0.7777777777777778
30.0,0.8045977011494253
50.0,0.7969348659003831
100.0,0.7854406130268199
5.0,0.8428571428571429
10.0,0.9285714285714286
20.0,0.9
30.0,0.9142857142857143
50.0,0.9285714285714286
100.0,0.9285714285714286
5.0,0.7549019607843137
10.0,0.9117647058823529
20.0,0.8529411764705882
30.0,0.8823529411764706
50.0,0.8725490196078431
100.0,0.8921568627450981
5.0,0.6641509433962264
10.0,0.7773584905660378
20.0,0.7811320754716982
30.0,0.8226415094339623
50.0,0.7849056603773585
100.0,0.7924528301886793
