model,extinction_mechanism,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,redundancy,S1,S2,S4,S5,robustness,r50,rep
lmatrix,calcification_descending,20,20,0.05,3,0.7789274424964795,3.0,1.0,17.0,0.3244428422615251,3.797506106852094,1.0,3.0,0.0,137.0,1.0,0.5075354609929077,0.5208333333333334,33
lmatrix,generality_ascending,20,32,0.08,5,0.8598086498907467,3.0,1.0,15.0,1.187655806953123,3.201973075924807,13.0,21.0,0.0,107.0,23.0,0.5431201550387592,0.5208333333333334,34
lmatrix,vulnerability_ascending,20,33,0.0825,9,0.9133289610659541,3.0,1.0,11.0,2.183068820189645,3.3603727863375354,14.0,18.0,0.0,118.0,56.0,0.5101950354609928,0.5208333333333334,35
lmatrix,size_ascending,17,16,0.05536332179930796,1,NaN,2.0,1.0,16.0,0.242535625036333,3.880570000581328,0.0,0.0,0.0,120.0,0.0,0.4027777777777777,0.375,36
lmatrix,motility_ascending,20,22,0.055,5,0.904791221648229,3.0,1.0,15.0,0.7181848464596079,3.9986839940423553,3.0,4.0,0.0,153.0,6.0,0.5777243589743587,0.4791666666666667,37
lmatrix,calcification_ascending,18,17,0.05246913580246913,2,0.7219280948873623,2.0,1.0,16.0,0.23570226039551584,3.7647314133121217,0.0,1.0,0.0,120.0,0.0,0.5008865248226951,0.5208333333333334,39
niche,random,19,46,0.12742382271468145,6,0.9245319116250151,1.0,1.0,4.0,1.804801911989365,1.804801911989365,28.0,41.0,3.0,43.0,36.0,0.49468085106382975,0.5,40
niche,generality_descending,19,19,0.05263157894736842,1,0.9300385521701755,1.0,1.0,11.0,0.3333333333333333,2.494438257849294,1.0,4.0,0.0,55.0,0.0,0.5287698412698415,0.5208333333333334,41
niche,vulnerability_descending,19,41,0.11357340720221606,6,0.9265544795362104,1.0,1.0,3.0,1.772103517628974,1.740471133366443,23.0,26.0,2.0,23.0,13.0,0.5104166666666667,0.3125,42
niche,generality_ascending,19,49,0.13573407202216067,6,0.9157416744373796,1.0,1.0,4.0,2.193824399781355,2.6523739780238844,31.0,24.0,1.0,48.0,18.0,0.49526515151515144,0.4791666666666667,43
niche,vulnerability_ascending,20,37,0.0925,4,0.9411724786878382,1.0,1.0,4.0,1.1367080817685318,2.3457688673327066,18.0,36.0,0.0,68.0,25.0,0.5101950354609928,0.5208333333333334,44
pfim,random,20,44,0.11,14,0.931612745534661,3.0,1.0,0.0,3.45801890348247,3.0881777968995174,25.0,2.0,0.0,105.0,1.0,0.5082125603864736,0.5217391304347826,45
pfim,generality_descending,20,19,0.0475,1,NaN,2.0,1.0,19.0,0.22360679774997896,4.2485291572496005,0.0,0.0,0.0,171.0,0.0,0.5106280193236716,0.5217391304347826,46
pfim,vulnerability_descending,20,28,0.07,9,0.9845902828556365,1.0,1.0,9.0,2.0365088806711915,3.939008691750275,9.0,0.0,0.0,153.0,0.0,0.49848331648129424,0.4782608695652174,47
pfim,size_descending,20,36,0.09,14,0.9047439425762728,3.0,1.0,3.0,3.019236571334583,3.4120529396769177,17.0,1.0,0.0,120.0,0.0,0.5050878815911192,0.5217391304347826,48
pfim,motility_descending,19,34,0.09418282548476455,13,0.9259940090317922,3.0,1.0,4.0,2.820144743496157,3.2927352251825375,16.0,2.0,0.0,105.0,1.0,0.6045150501672241,0.5434782608695652,49
pfim,calcification_descending,20,40,0.1,13,0.9121512268915702,3.0,1.0,4.0,2.8469743865891624,2.7909628596974425,21.0,6.0,1.0,80.0,5.0,0.5193761814744801,0.5652173913043478,51
pfim,generality_ascending,20,42,0.105,13,0.9396953393397858,3.0,1.0,0.0,2.9361629095775577,2.863564212655271,23.0,2.0,0.0,91.0,1.0,0.5085945399393327,0.5,52
pfim,vulnerability_ascending,20,32,0.08,5,0.9512287278702569,1.0,1.0,4.0,1.3138933706635725,2.998245100756529,13.0,6.0,2.0,92.0,3.0,0.5106280193236716,0.5217391304347826,53
pfim,size_ascending,20,33,0.0825,12,0.9067605482242564,3.0,1.0,3.0,2.3902213066443956,3.183427480926146,14.0,4.0,1.0,105.0,5.0,0.521266540642722,0.5434782608695652,54
pfim,motility_ascending,19,34,0.09418282548476455,13,0.9259940090317922,3.0,1.0,4.0,2.820144743496157,3.2927352251825375,16.0,2.0,0.0,105.0,1.0,0.6045150501672241,0.5434782608695652,55
pfim,calcification_ascending,20,40,0.1,15,0.921440975613568,3.0,1.0,3.0,3.1953914182443244,2.955814964652415,21.0,5.0,0.0,92.0,4.0,0.5175763182238668,0.5652173913043478,57
random,random,20,107,0.2675,7,0.7456122736278838,1.0,0.0,13.0,1.460893742308382,8.106365270251326,88.0,0.0,15.0,90.0,0.0,0.52080378250591,0.5319148936170213,58
random,generality_descending,20,85,0.2125,5,0.6545513301619592,1.0,0.0,15.0,0.7863975156570492,7.906526284958322,66.0,0.0,0.0,21.0,0.0,0.5104070305272893,0.5319148936170213,59
random,vulnerability_descending,12,11,0.0763888888888889,1,NaN,2.0,1.0,11.0,0.28867513459481287,3.1754264805429413,0.0,0.0,0.0,55.0,0.0,0.7553191489361701,0.19148936170212766,60
random,size_descending,19,43,0.11911357340720222,4,0.8281480391700664,1.0,0.0,15.0,1.2401659953032227,5.17302947199498,25.0,0.0,0.0,21.0,4.0,0.6790168745414525,0.5319148936170213,61
random,calcification_descending,20,30,0.075,3,0.8478840678179111,1.0,0.0,17.0,0.6882472016116853,4.718385093942295,11.0,0.0,0.0,22.0,2.0,0.7788753799392096,0.2765957446808511,64
random,generality_ascending,20,94,0.235,5,0.6548928580598566,1.0,0.0,15.0,0.47016234598162726,8.442374323051919,75.0,0.0,0.0,55.0,0.0,0.52080378250591,0.5319148936170213,65
random,vulnerability_ascending,20,175,0.4375,12,0.7258808751206359,1.0,0.0,7.0,2.403396719119356,8.723078886675157,156.0,0.0,7.0,18.0,3.0,0.5000000000000001,0.5319148936170213,66
random,size_ascending,20,80,0.2,4,NaN,1.0,0.0,16.0,0.0,8.207826816681232,61.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.5319148936170213,67
adbm,random,5,4,0.16,2,1.0,3.0,1.0,3.0,0.44721359549995804,1.0954451150103324,0.0,2.0,0.0,2.0,0.0,0.6028645833333335,0.5208333333333334,71
adbm,generality_descending,20,19,0.0475,2,0.9735429262867762,2.0,1.0,18.0,0.22360679774997902,3.1367935354770364,0.0,13.0,0.0,93.0,0.0,0.6087962962962963,0.5208333333333334,72
adbm,vulnerability_descending,17,39,0.13494809688581316,7,0.8747747112384712,3.0,1.0,10.0,1.9288826390670113,3.312187832127598,23.0,33.0,0.0,113.0,55.0,0.3148148148148148,0.08333333333333333,73
adbm,size_descending,20,19,0.0475,2,0.9994997009264435,3.0,1.0,18.0,0.22360679774997896,2.9285347512832565,0.0,10.0,0.0,81.0,0.0,0.5101950354609928,0.5208333333333334,74
adbm,motility_descending,20,30,0.075,7,0.9216378638905427,3.0,1.0,13.0,1.1470786693528088,3.2036163775859374,11.0,25.0,0.0,105.0,20.0,0.5663377192982455,0.5208333333333334,75
adbm,calcification_descending,20,25,0.0625,5,0.9252897788915484,3.0,1.0,15.0,0.7863975156570492,3.306691779757495,6.0,20.0,0.0,107.0,9.0,0.5090579710144927,0.5208333333333334,77
adbm,generality_ascending,20,29,0.0725,4,0.8824366428559838,3.0,1.0,16.0,0.6048053188292994,3.913203022427644,10.0,27.0,0.0,152.0,10.0,0.6200980392156864,0.5208333333333334,78
adbm,vulnerability_ascending,20,39,0.0975,12,0.9049140109340222,3.0,1.0,8.0,2.438183102661747,2.742933504576135,20.0,30.0,0.0,90.0,75.0,0.5101950354609928,0.5208333333333334,79
adbm,size_ascending,17,39,0.13494809688581316,7,0.8747747112384712,3.0,1.0,10.0,1.9288826390670113,3.312187832127598,23.0,33.0,0.0,113.0,55.0,0.3447916666666666,0.10416666666666667,80
adbm,motility_ascending,20,30,0.075,7,0.9216378638905427,3.0,1.0,13.0,1.1470786693528088,3.2036163775859374,11.0,25.0,0.0,105.0,20.0,0.5663377192982455,0.5208333333333334,81
adbm,calcification_ascending,20,27,0.0675,5,0.9239376109743166,3.0,1.0,15.0,0.8127277008872491,3.4224491076912806,8.0,22.0,0.0,116.0,11.0,0.5063405797101448,0.5208333333333334,83
bodymassratio,random,20,71,0.1775,14,0.8792992259418461,3.0,1.0,5.0,3.804083678309265,3.1030545223087933,52.0,65.0,29.0,153.0,199.0,0.48749999999999993,0.4375,84
bodymassratio,generality_descending,20,22,0.055,3,0.9068145355501241,1.0,1.0,15.0,0.5525062514530825,3.0070093553492474,3.0,10.0,0.0,87.0,4.0,0.5350378787878789,0.5208333333333334,85
bodymassratio,vulnerability_descending,19,50,0.13850415512465375,15,0.8980313412107576,1.0,1.0,3.0,2.8908000875534148,3.3033741389304345,32.0,49.0,22.0,117.0,94.0,0.5865384615384616,0.1875,86
bodymassratio,size_descending,19,54,0.14958448753462603,16,0.879671127445851,4.0,1.0,3.0,2.9299821367437424,3.8767563459781518,36.0,49.0,29.0,156.0,98.0,0.5185185185185185,0.2708333333333333,87
bodymassratio,motility_descending,20,86,0.215,18,0.8716441884083918,4.0,1.0,2.0,3.686390332589663,3.7289761541064776,67.0,104.0,57.0,217.0,214.0,0.5528846153846152,0.5,88
