id,model,richness,connectance,deficiency,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
during_traits,pfim_minimum,55,0.019834710743801654,0.9636363636363636,0.9873072576240761,2.0,53.0,1.0,5.748664022808955,0.34815531191139565,0.0,0.0,0.0,595.0
post_traits,pfim_minimum,54,0.01646090534979424,0.9629629629629629,0.9936177578276073,2.0,52.0,8.0,4.640537813116983,0.4196434545311264,0.0,0.0,0.0,190.0
pre_traits,pfim_minimum,356,0.035988195934856713,0.9859550561797753,0.7267571954937275,2.0,327.0,19.0,43.62769473333306,10.22760562199095,0.0,0.0,1188.0,83062.0
